ID,IC,FII,body_part,dry_weight
129,0.375,53,NA,9.45
129,0.375,53,drytotal,14.79
130,0.375,52,drythor,5.82
130,0.375,52,dryrest,12.77
130,0.375,52,NA,18.59
131,0.375,73,drythor,4.82
131,0.375,73,dryrest,5.31
131,0.375,NA,drytotal,10.13
132,0.375,81,DRYTHOR,4.52
132,0.375,81,dryrest,NA
132,0.375,81,drytotal,10.41
134,0.375,47,drythor,4.56
134,0.375,47,dryrest,6.76
134,0.375,47,drytotal,11.32
135,0.375,53,drythor,5.39
135,0.375,53,dryrest,7.98
135,0.375,53,drytotal,13.37
136,0.375,55,drythor,4.36
136,0.375,55,dryrest,7.5
136,0.375,55,DRYTOTAL,11.86
137,0,61,drythor,4.93
137,0,61,dryrest,5.24
137,0,61,drytotal,10.17
139,0,37,drythor,4.95
NA,0,37,dryrest,NA
139,0,37,drytotal,NA
141,0,28,drythor,4.9
141,0,28,dryrest,6.55
141,0,28,NA,11.45
142,0,17,NA,4.89
142,0,17,dryrest,6.24
142,0,17,NA,11.13
143,0,79,DRYTHOR,4.85
143,0,NA,dryrest,4.3
143,0,79,drytotal,9.15
145,0,44,drythor,4.86
145,0,44,dryrest,5.54
145,0,44,drytotal,10.4
146,0,48,drythor,6.11
NA,0,48,dryrest,NA
146,0,48,drytotal,14.69
147,0,38,drythor,5.22
147,0,38,dryrest,4.43
NA,0,38,drytotal,9.65
148,0,26,drythor,5.65
148,0,26,dryrest,8.27
148,0,26,drytotal,13.92
NA,0,58,drythor,5.29
149,0,58,dryrest,6.8
149,0,58,NA,12.09
150,0,35,drythor,6.13
150,0,35,dryrest,8.89
150,0,35,drytotal,15.02
NA,0,46,drythor,4.95
151,0,46,dryrest,6.43
151,0,46,drytotal,11.38
154,0.25,73,drythor,5.63
154,0.25,73,NA,8.42
154,0.25,73,drytotal,14.05
155,0.25,56,drythor,4.8
155,0.25,56,DRYREST,5.22
155,0.25,56,drytotal,10.02
156,0.25,91,drythor,NA
156,0.25,91,dryrest,4.75
156,0.25,91,drytotal,9.05
